kernel_id,LOC,BLC,UDF,I,EH,NVD,NEC,S,P,OPRND,OPRATOR,UOPRND,UOPRATOR,ID,LOCom,EAP,CW,ALID,MeanLCC,ALLC,KLCID,CyC,MLID,NBD,AID,CC,MC,MeanWMC,MeanLMC,H1,H2,H3,MW,LMC,PT,PT_bin,LOC_bin,NVD_bin,bal_group
9062617,14,1,0.0,2,0.0,6.0,0.0,2.0,18.0,48,26,45.0,10,77.0,2.0,0.444126094127036,18.0,8.416666666666666,1.1666666666666667,46.333333333333336,4.833333333333333,1.0,19,7.0,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
13602318,51,0,2.0,3,0.0,3.0,3.0,3.0,42.0,137,79,122.0,25,208.0,6.0,0.5669813066814733,35.0,6.5,3.642857142857143,38.95178571428572,4.479251700680272,0.9285714285714286,26,13.4,49,14,11.0,33.90909090909091,1.5454545454545454,3.0,0.0,0.0,373.0,17.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
38163924,45,0,0.0,4,0.0,3.0,6.0,4.0,58.0,122,38,105.0,27,205.0,0.0,1.0783907931263608,0.0,3.533333333333333,3.0,31.843492063492064,4.502222222222222,1.2666666666666666,13,7.357142857142857,69,15,5.0,16.0,1.2,0.0,0.0,1.0,80.0,6.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
8572759,39,0,0.0,3,0.0,4.0,1.0,8.0,29.0,93,54,72.0,14,148.0,13.0,0.4903555837941611,23.0,5.5,3.25,29.51190476190476,4.002777777777777,1.0,24,2.0,38,12,11.0,26.0,3.1818181818181817,3.0,4.0,0.0,286.0,35.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
38620892,51,0,1.0,2,0.0,4.0,0.0,0.0,73.0,111,30,98.0,9,168.0,1.0,0.5994631774954762,3.0,3.25,12.75,21.76346153846153,3.909415584415585,1.0,11,3.9,48,4,,,,,,,,,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
22349507,40,0,0.0,5,0.0,5.0,0.0,2.0,50.0,89,9,55.0,9,120.0,0.0,0.0004256894317971,0.0,4.777777777777778,4.444444444444445,26.13425925925926,2.7350427350427347,0.8888888888888888,38,5.0,60,9,,,,,,,,,0,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
4814445,53,0,0.0,8,0.0,3.0,7.0,8.0,57.0,108,52,108.0,29,306.0,17.0,2.711597446879929,129.0,5.05,2.65,46.49285714285715,5.801428571428572,1.05,16,13.333333333333334,48,20,17.0,31.11764705882353,2.3529411764705883,0.0,0.0,0.0,529.0,40.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
22798290,53,0,0.0,7,0.0,3.0,8.0,3.0,65.0,122,176,107.0,21,270.0,10.0,2.154738299029045,101.0,4.9375,3.3125,42.18353174603175,5.2648809523809526,1.0625,18,7.666666666666667,48,16,,,,,,,,,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
7241064,27,1,0.0,7,0.0,4.0,1.0,6.0,22.0,52,31,50.0,11,127.0,5.0,2.242061745499758,38.0,6.125,3.375,30.64375,3.8125,0.875,22,4.5,84,8,2.0,36.0,1.5,2.0,0.0,0.0,72.0,3.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
11839507,50,0,0.0,5,0.0,4.0,0.0,2.0,28.0,85,50,66.0,15,202.0,17.0,0.9190033446763471,103.0,5.0,5.0,28.697222222222223,4.290873015873016,1.0,16,5.0,70,10,10.0,33.9,4.6,7.0,0.0,0.0,339.0,46.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
